"Year","Column","Sum"
2013,"G 1",122973
2013,"G 2",121277
2013,"G 3",1407
2013,"G 4",15505
2013,"G 5",21973
2013,"G 6",556
2013,"G 7",31
2013,"G 8",29490
2013,"G 9",448
2013,"G 10",1694
2013,"G 11",4217
2013,"G 12",26243
2013,"G 13",24448
2013,"G 14",54340
2013,"G 15",10985
2013,"G 16",1046
2013,"G 17",12172
2013,"G 18",1054
2013,"G 19",2680
2013,"G 20",251
2013,"G 21",192
2013,"G 22",186
2013,"G 23",10
2013,"G 24",1816
2013,"G 25",1422
2013,"G 26",3905
2013,"G 27",2032
2013,"G 28",1580
2013,"G 29",4113
2013,"G 30",5720
2013,"G 31",85321
2013,"G 32",28448
2013,"G 33",97
2013,"G 34",422
2013,"G 35",8692
2013,"G 36",2799
2013,"G 37",27960
2013,"G 38",52443
2013,"G 39",27673
2013,"G 40",2730
2013,"G 41",676
2013,"G 42",657
2013,"G 43",6473
2013,"G 44",12861
2013,"G 45",34365
2013,"G 46",19431
2013,"G 47",6146
2013,"G 48",8788
2013,"G 49",2337
2013,"G 50",235
2013,"G 51",22788
2013,"G 52",430
2013,"G 53",908
2013,"G 54",4971
2013,"G 55",2696
2013,"G 56",12946
2013,"G 57",6444
2013,"G 58",5834
2013,"G 59",333
2013,"G 60",277
2013,"G 61",4983
2013,"G 62",1370
2013,"G 63",385
2013,"G 64",8708
2013,"G 65",899
2014,"G 1",102170
2014,"G 2",100735
2014,"G 3",1200
2014,"G 4",12812
2014,"G 5",16069
2014,"G 6",488
2014,"G 7",4
2014,"G 8",20698
2014,"G 9",297
2014,"G 10",1385
2014,"G 11",3490
2014,"G 12",20998
2014,"G 13",19114
2014,"G 14",46545
2014,"G 15",9723
2014,"G 16",915
2014,"G 17",8983
2014,"G 18",718
2014,"G 19",2213
2014,"G 20",535
2014,"G 21",184
2014,"G 22",157
2014,"G 23",12
2014,"G 24",1641
2014,"G 25",1238
2014,"G 26",3130
2014,"G 27",1879
2014,"G 28",1685
2014,"G 29",3459
2014,"G 30",4533
2014,"G 31",71410
2014,"G 32",23320
2014,"G 33",88
2014,"G 34",305
2014,"G 35",7383
2014,"G 36",2416
2014,"G 37",22762
2014,"G 38",43464
2014,"G 39",23298
2014,"G 40",2253
2014,"G 41",594
2014,"G 42",535
2014,"G 43",5528
2014,"G 44",11135
2014,"G 45",27714
2014,"G 46",15195
2014,"G 47",4936
2014,"G 48",7583
2014,"G 49",2054
2014,"G 50",150
2014,"G 51",18714
2014,"G 52",424
2014,"G 53",620
2014,"G 54",3730
2014,"G 55",2022
2014,"G 56",10848
2014,"G 57",5282
2014,"G 58",4591
2014,"G 59",457
2014,"G 60",234
2014,"G 61",4167
2014,"G 62",1264
2014,"G 63",261
2014,"G 64",6492
2014,"G 65",664
2015,"G 1",94798
2015,"G 2",93737
2015,"G 3",870
2015,"G 4",10985
2015,"G 5",15602
2015,"G 6",214
2015,"G 7",14
2015,"G 8",14908
2015,"G 9",230
2015,"G 10",1418
2015,"G 11",3171
2015,"G 12",20116
2015,"G 13",17498
2015,"G 14",43564
2015,"G 15",8187
2015,"G 16",844
2015,"G 17",7605
2015,"G 18",477
2015,"G 19",1503
2015,"G 20",2645
2015,"G 21",188
2015,"G 22",186
2015,"G 23",10
2015,"G 24",1112
2015,"G 25",1030
2015,"G 26",2949
2015,"G 27",1855
2015,"G 28",2029
2015,"G 29",2939
2015,"G 30",2011
2015,"G 31",67923
2015,"G 32",22571
2015,"G 33",57
2015,"G 34",279
2015,"G 35",6280
2015,"G 36",2166
2015,"G 37",21882
2015,"G 38",41013
2015,"G 39",21038
2015,"G 40",1891
2015,"G 41",528
2015,"G 42",539
2015,"G 43",5041
2015,"G 44",9736
2015,"G 45",25718
2015,"G 46",13232
2015,"G 47",4863
2015,"G 48",7623
2015,"G 49",1818
2015,"G 50",163
2015,"G 51",18103
2015,"G 52",314
2015,"G 53",494
2015,"G 54",3332
2015,"G 55",1494
2015,"G 56",9529
2015,"G 57",5942
2015,"G 58",4010
2015,"G 59",1680
2015,"G 60",252
2015,"G 61",3871
2015,"G 62",1237
2015,"G 63",240
2015,"G 64",5576
2015,"G 65",560
2016,"G 1",76217
2016,"G 2",75328
2016,"G 3",728
2016,"G 4",8909
2016,"G 5",11587
2016,"G 6",170
2016,"G 7",14
2016,"G 8",11143
2016,"G 9",175
2016,"G 10",1012
2016,"G 11",2462
2016,"G 12",15509
2016,"G 13",14047
2016,"G 14",35730
2016,"G 15",6737
2016,"G 16",720
2016,"G 17",6048
2016,"G 18",366
2016,"G 19",846
2016,"G 20",2836
2016,"G 21",126
2016,"G 22",117
2016,"G 23",6
2016,"G 24",797
2016,"G 25",678
2016,"G 26",2132
2016,"G 27",1508
2016,"G 28",1815
2016,"G 29",2527
2016,"G 30",1337
2016,"G 31",54821
2016,"G 32",18215
2016,"G 33",44
2016,"G 34",213
2016,"G 35",4886
2016,"G 36",1562
2016,"G 37",18193
2016,"G 38",33023
2016,"G 39",16661
2016,"G 40",1473
2016,"G 41",419
2016,"G 42",361
2016,"G 43",4284
2016,"G 44",7521
2016,"G 45",20811
2016,"G 46",10825
2016,"G 47",3652
2016,"G 48",6334
2016,"G 49",1369
2016,"G 50",114
2016,"G 51",15192
2016,"G 52",275
2016,"G 53",316
2016,"G 54",2492
2016,"G 55",1053
2016,"G 56",8011
2016,"G 57",4425
2016,"G 58",3258
2016,"G 59",919
2016,"G 60",248
2016,"G 61",3371
2016,"G 62",1106
2016,"G 63",179
2016,"G 64",4399
2016,"G 65",426
2017,"G 1",76804
2017,"G 2",75872
2017,"G 3",802
2017,"G 4",8655
2017,"G 5",10213
2017,"G 6",168
2017,"G 7",21
2017,"G 8",9318
2017,"G 9",196
2017,"G 10",870
2017,"G 11",2218
2017,"G 12",14654
2017,"G 13",13526
2017,"G 14",37937
2017,"G 15",6765
2017,"G 16",834
2017,"G 17",6474
2017,"G 18",304
2017,"G 19",686
2017,"G 20",3042
2017,"G 21",100
2017,"G 22",112
2017,"G 23",1
2017,"G 24",761
2017,"G 25",715
2017,"G 26",1737
2017,"G 27",1409
2017,"G 28",1766
2017,"G 29",2689
2017,"G 30",1217
2017,"G 31",55538
2017,"G 32",17761
2017,"G 33",37
2017,"G 34",216
2017,"G 35",4993
2017,"G 36",1699
2017,"G 37",18866
2017,"G 38",33531
2017,"G 39",15885
2017,"G 40",1334
2017,"G 41",496
2017,"G 42",331
2017,"G 43",4326
2017,"G 44",7727
2017,"G 45",20197
2017,"G 46",10199
2017,"G 47",3513
2017,"G 48",6485
2017,"G 49",1335
2017,"G 50",125
2017,"G 51",14966
2017,"G 52",298
2017,"G 53",270
2017,"G 54",2328
2017,"G 55",875
2017,"G 56",8918
2017,"G 57",3467
2017,"G 58",2620
2017,"G 59",599
2017,"G 60",248
2017,"G 61",3080
2017,"G 62",1091
2017,"G 63",181
2017,"G 64",4217
2017,"G 65",334
2018,"G 1",73659
2018,"G 2",72728
2018,"G 3",797
2018,"G 4",8680
2018,"G 5",8664
2018,"G 6",196
2018,"G 7",23
2018,"G 8",7142
2018,"G 9",207
2018,"G 10",824
2018,"G 11",1974
2018,"G 12",13431
2018,"G 13",12245
2018,"G 14",37408
2018,"G 15",7015
2018,"G 16",762
2018,"G 17",6604
2018,"G 18",219
2018,"G 19",1
2018,"G 20",0
2018,"G 21",649
2018,"G 22",2963
2018,"G 23",113
2018,"G 24",96
2018,"G 25",5
2018,"G 26",712
2018,"G 27",631
2018,"G 28",1519
2018,"G 29",1302
2018,"G 30",1844
2018,"G 31",2576
2018,"G 32",1258
2018,"G 33",52917
2018,"G 34",15818
2018,"G 35",34
2018,"G 36",216
2018,"G 37",4785
2018,"G 38",1622
2018,"G 39",18633
2018,"G 40",32069
2018,"G 41",14860
2018,"G 42",1186
2018,"G 43",504
2018,"G 44",303
2018,"G 45",4223
2018,"G 46",7416
2018,"G 47",18076
2018,"G 48",9124
2018,"G 49",2996
2018,"G 50",5956
2018,"G 51",1152
2018,"G 52",109
2018,"G 53",13520
2018,"G 54",238
2018,"G 55",217
2018,"G 56",2082
2018,"G 57",758
2018,"G 58",8864
2018,"G 59",2485
2018,"G 60",1699
2018,"G 61",549
2018,"G 62",237
2018,"G 63",2791
2018,"G 64",1044
2018,"G 65",177
2018,"G 66",3448
2018,"G 67",311
2019,"G 1",70375
2019,"G 2",69460
2019,"G 3",798
2019,"G 4",8617
2019,"G 5",7074
2019,"G 6",142
2019,"G 7",10
2019,"G 8",6518
2019,"G 9",216
2019,"G 10",744
2019,"G 11",1662
2019,"G 12",12352
2019,"G 13",11122
2019,"G 14",36799
2019,"G 15",6907
2019,"G 16",789
2019,"G 17",6331
2019,"G 18",188
