"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPFOR","INDICM","REL","MED","EDU","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1-2","NODEC"
2014,"Article 109","I",91,39,1,24,0,13,0,0,0,3,2,0,0,15,15,53
2014,"Article 110","I",285,99,1,40,0,49,0,0,0,2,5,0,0,37,36,194
2014,"Article  110-1","I",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2014,"Article  110-2","I",6,0,0,3,0,0,0,0,0,0,0,0,0,1,1,3
2014,"Article 111","I",65,36,0,18,0,8,7,0,0,3,1,0,0,2,2,32
2014,"Article 112","I",2,1,0,1,0,0,0,0,0,0,0,0,0,4,4,1
2014,"Article 113","I",59,3,0,0,0,2,0,0,0,2,2,0,0,1,1,57
2014,"Article 114","I",7,3,0,1,0,2,1,0,0,0,0,0,0,1,0,2
2014,"Article 114-1","I",12,3,0,0,0,3,0,0,0,0,0,0,0,3,3,9
2014,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Article 115","II",11466,1760,11,77,0,1166,0,64,2,427,80,781,36,113275,113219,10090
2014,"Article 116","II",4,4,0,0,0,4,0,0,0,1,0,2,0,0,0,0
2014,"Article 117","II",14,10,0,0,0,5,0,0,0,0,0,0,0,20,20,9
2014,"Article 118","II",48,44,0,0,0,41,0,2,0,7,0,21,0,4,4,5
2014,"Article 119","II",186,146,0,2,0,129,0,1,1,18,2,56,5,27,26,52
2014,"Article 120","II",158,0,0,0,0,0,0,0,0,0,0,0,0,2408,2408,158
2014,"Article 121","II",3132,2357,10,84,1,1856,0,46,4,583,69,1155,58,889,868,1110
2014,"Article 122","II",4123,2200,3,19,0,1957,5,12,0,446,40,633,76,2633,2389,1883
2014,"Article 123","II",3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2014,"Article 124","II",135,109,0,2,1,98,3,0,0,20,0,43,2,27,26,30
2014,"Article 125","II",37840,17053,9,101,0,14698,211,53,74,2824,239,4837,359,94617,91288,19365
2014,"Article 126","II",1826,1200,0,0,0,794,28,4,4,139,9,294,19,3396,2802,402
2014,"Article 127","II",54,24,0,1,0,19,0,0,0,4,7,6,1,24,24,34
2014,"Article 128","II",758,445,0,4,0,394,18,1,7,68,3,123,24,753,749,330
2014,"Article 129","II",1274,368,0,6,0,291,5,9,0,84,3,167,1,5859,5794,898
2014,"Article 130","II",7,4,0,0,0,4,0,0,0,1,0,1,0,9,9,3
2014,"Article 131","II",2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
2014,"Article 132","II",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
2014,"Article 133","II",4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3
2014,"Article 134","II",2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2
2014,"Article 135","II",186,126,0,3,0,115,1,0,2,9,3,37,3,57,57,65
2014,"Article 136","II",15,4,0,0,0,4,0,0,0,1,2,0,0,25,25,11
2014,"Article 137","II",51,10,0,0,0,5,4,0,0,0,0,0,0,64,64,42
2014,"Article 138","II",4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
2014,"Article 139","II",26,0,0,0,0,0,0,0,0,0,0,0,0,35,35,26
2014,"Article 140","II",436,6,0,0,0,5,0,0,0,0,0,0,0,256,256,431
2014,"Article 141","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Article 142","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Article 143","II",3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
2014,"Article 144","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Article 145","II",3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3
2014,"Others","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Article 146","III",1974,168,0,27,0,103,0,1,0,36,53,22,0,456,454,1841
2014,"Article 147","III",46,5,0,1,0,4,0,0,0,1,0,0,0,3,3,41
2014,"Article 148","III",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2014,"Article 149","III",118,77,0,0,0,55,0,1,0,8,21,0,0,19,18,61
2014,"Article 150","III",4,2,0,0,0,2,0,0,0,0,0,0,0,4,4,2
2014,"Article 150-1","III",53,49,0,0,0,49,0,0,0,3,0,0,0,21,21,4
2014,"Article 151","III",6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6
2014,"Article  151-1","III",0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0
2014,"Others","III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Article 152","IV",421,275,1,13,0,212,0,4,0,112,10,122,8,516,497,172
2014,"Article 153","IV",212,166,0,3,0,142,0,8,0,71,6,80,7,74,74,59
2014,"Article 154","IV",6,2,0,0,0,0,0,0,0,0,0,1,0,9,7,4
2014,"Article 155","IV",49,26,0,1,0,24,0,0,1,3,1,8,1,58,57,22
