"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPSDR","STPFOR","TOCRT","INDICM","REL","MED","EDU","CL3-1","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1-2","CL10","NODEC"
2021,"Article  109","I",81,17,0,0,0,0,11,11,0,0,0,0,0,0,0,0,28,28,0,70
2021,"Article  110","I",149,64,0,6,0,1,58,58,0,0,0,0,4,24,1,0,13,13,0,84
2021,"Article  110-2","I",46,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,3,3,0,40
2021,"Article  111","I",208,64,0,16,0,0,46,16,30,0,0,0,8,1,0,0,9,9,0,146
2021,"Article  112","I",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2021,"Article  113","I",18,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17
2021,"Article  114","I",9,4,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,6
2021,"Article  114-1","I",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,7
2021,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  115","II",3230,1238,1,28,0,2,874,780,0,93,1,0,249,22,407,16,132308,132263,5,2280
2021,"Article  116","II",3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Article  117","II",6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,19,19,0,2
2021,"Article  118","II",12,12,0,0,0,0,11,10,0,1,0,0,1,0,2,0,2,2,0,1
2021,"Article  119","II",108,81,0,3,0,0,67,66,0,1,0,0,5,0,18,0,5,5,0,38
2021,"Article  120","II",113,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,451,451,0,112
2021,"Article  121","II",1601,1561,0,22,0,0,1279,1245,0,32,2,0,298,29,470,41,86,79,0,293
2021,"Article  122","II",3162,1608,0,17,0,0,1525,1511,1,12,1,0,259,25,203,70,2010,2006,0,1616
2021,"Article  123","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2021,"Article  124","II",88,57,0,0,0,0,57,55,0,0,2,0,10,0,14,4,24,24,0,31
2021,"Article  125*","II",19155,13833,0,43,0,0,13651,13534,14,69,34,0,2072,104,1784,228,39111,39074,1,5424
